OR	Posterior	Posterior1
0	0.0952380952380952	0.0957162110169835
0.03256001	0.09375	0.090530011507625
0.070216248	0.0845070422535211	0.0827240382970084
0.082355146	0.0789473684210526	0.0798389739094388
0.093809574	0.0779220779220779	0.0831637716804954
0.098963073	0.0769230769230769	0.0755180879693383
0.103967892	0.0769230769230769	0.0852173852878684
0.106977596	0.0618556701030928	0.0677204012105642
0.113424721	0.0948905109489051	0.0930442894260597
0.115659216	0.0928571428571428	0.0874586958657484
0.123778241	0.0948905109489051	0.0906061412483766
0.127200542	0.0606060606060606	0.0648714911680001
0.127695348	0.0666666666666667	0.0730985924626702
0.128068503	0.0660377358490566	0.0667846100599157
0.129609166	0.0810810810810811	0.0796687428614783
0.129730945	0.0810810810810811	0.0797318348098105
0.130460633	0.079646017699115	0.0783299802498656
0.14705261	0.0915492957746479	0.0791568873190441
0.148427326	0.0660377358490566	0.0718027809117607
0.148447444	0.0747663551401869	0.0823662681252743
0.148782099	0.073394495412844	0.0752170445749531
0.151339737	0.0782608695652174	0.0775908684571148
0.155752372	0.0928571428571428	0.0959458432255829
0.161204767	0.0782608695652174	0.0780964742746317
0.172569069	0.0839694656488549	0.082780665970181
0.178062567	0.0666666666666667	0.0729624619954988
0.178113806	0.0666666666666667	0.0777724162303337
0.178140913	0.0666666666666667	0.0735279339347376
0.178189211	0.0666666666666667	0.0732847039798865
0.178358463	0.0666666666666667	0.0732228270469616
0.181430774	0.0782608695652174	0.0779738375118263
0.181486006	0.0782608695652174	0.0782209790838123
0.181486035	0.0782608695652174	0.0781197912063415
0.181824923	0.0782608695652174	0.0779746254831231
0.186084933	0.0928571428571428	0.0917647252162712
0.191788381	0.0789473684210526	0.0788749960508578
0.194681585	0.0955882352941176	0.0948239738527813
0.205298456	0.0970149253731343	0.0962284706514376
0.206482242	0.0955882352941176	0.0943467753664258
0.222049977	0.07	0.0771693437256905
0.222622275	0.0775862068965517	0.0768747107521326
0.22265244	0.0775862068965517	0.0769217375052162
0.222656148	0.0775862068965517	0.0774025808657592
0.222686318	0.0775862068965517	0.0772122781061778
0.222697977	0.0769230769230769	0.076334157386911
0.222716495	0.0769230769230769	0.0761362848873708
0.222812147	0.0847457627118644	0.0833926149125223
0.222924291	0.0924369747899159	0.0910477259036252
0.223196808	0.0909090909090909	0.0895118954401114
0.226694446	0.0873015873015873	0.0862732318503552
0.226728961	0.0873015873015873	0.0860264254658926
0.226867021	0.0873015873015873	0.0866172913009804
0.226929675	0.0873015873015873	0.0907904680071184
0.226957829	0.0873015873015873	0.0861969982892895
0.226982815	0.0873015873015873	0.086356286549376
0.227081991	0.088	0.0867093760505763
0.227177477	0.088	0.0863894239797075
0.227432153	0.0873015873015873	0.0850384165475791
0.230426372	0.0806451612903226	0.0753020196395865
0.237068117	0.0756302521008403	0.0745426977018337
0.241897099	0.0743801652892562	0.073025387045971
0.24235868	0.0743801652892562	0.0725215390491562
0.242615688	0.075	0.0676356396257012
0.242875367	0.0792079207920792	0.0759767033169627
0.249436037	0.073394495412844	0.0712877494424583
0.254481698	0.0784313725490196	0.073716570555582
0.256228734	0.0776699029126214	0.0732610739930619
0.256259656	0.0776699029126214	0.0730919452827047
0.256650521	0.0776699029126214	0.0731114993938173
0.259750174	0.0761904761904762	0.0725947553183304
0.263775407	0.0761904761904762	0.0736894704792258
0.287097646	0.0660377358490566	0.065934753282378
