thrs	post_p	finalwindow
0	0.0561309165667624	0.23
0.070216248	0.0466879258913721	0.18
0.089689176	0.0430654429441247	0.17
0.093809574	0.0425156497753982	0.17
0.098963073	0.0425156497753982	0.18
0.103967892	0.0425156497753982	0.19
0.127695348	0.0371762920935546	0.17
0.129730945	0.0617839988130915	0.17
0.130460633	0.0608168906778977	0.17
0.14705261	0.0304605689669984	0.15
0.148447444	0.0632937412056541	0.15
0.151339737	0.0598795923162885	0.15
0.161204767	0.0598795923162885	0.14
0.172569069	0.06215464169052	0.13
0.178062567	0.0460424432868599	0.12
0.178140913	0.0460424432868599	0.12
0.178358463	0.0460424432868599	0.12
0.181430774	0.0598795923162885	0.12
0.181486006	0.0598795923162885	0.12
0.181486035	0.0598795923162885	0.12
0.186084933	0.0661681829979912	0.12
0.191788381	0.0603446020860809	0.11
0.22265244	0.0585265912628851	0.08
0.222656148	0.0585265912628851	0.08
0.222686318	0.0585265912628851	0.08
0.222697977	0.0576580548557461	0.08
0.222812147	0.0653565864569783	0.08
0.222924291	0.0653565864569783	0.08
0.226694446	0.0625927184852616	0.08
0.226728961	0.0625927184852616	0.08
0.226867021	0.0625927184852616	0.08
0.226982815	0.0625927184852616	0.08
0.227432153	0.0108714756544188	0.07
0.230426372	0.0394907107719287	0.07
0.237068117	0.0490969942900023	0.07
0.241897099	0.0437730089050634	0.06
0.24235868	0.0437730089050634	0.06
0.242875367	0.0566079747564804	0.06
0.242941212	0.0566079747564804	0.06
0.243116147	0.0561309165667624	0.06
0.249436037	0.053004107895658	0.06
0.256228734	0.0561309165667624	0.05
0.256259656	0.0561309165667624	0.05
0.256650521	0.0556618319037162	0.05
0.259750174	0.0538613597686678	0.05
0.296044019	0.0636393142139415	0.05
0.296834617	0.0636393142139415	0.05
0.296839561	0.0636393142139415	0.05
0.296839653	0.0636393142139415	0.05
0.296879772	0.0636393142139415	0.05
0.29691506	0.0636393142139415	0.05
0.296960227	0.0636393142139415	0.05
0.297156652	0.0636393142139415	0.05
0.297207868	0.0636393142139415	0.05
0.29723727	0.0636393142139415	0.05
0.297242165	0.0636393142139415	0.05
0.297345093	0.0636393142139415	0.05
0.297631463	0.0636393142139415	0.05
0.298062423	0.0636393142139415	0.05
0.298432807	0.0636393142139415	0.05
0.29855614	0.0636393142139415	0.05
0.298682719	0.0636393142139415	0.05
0.300128238	0.0642532346513096	0.05
0.300638986	0.0642532346513096	0.05
0.301159527	0.0630370143972991	0.05
0.302397905	0.0630370143972991	0.05
0.302406093	0.0630370143972991	0.05
0.302443572	0.0630370143972991	0.05
0.302452098	0.0630370143972991	0.05
0.302493847	0.0630370143972991	0.05
0.302535608	0.0630370143972991	0.05
0.302694303	0.0630370143972991	0.05
0.302757814	0.0630370143972991	0.05
0.303037639	0.0630370143972991	0.05
0.303998368	0.0630370143972991	0.05
0.305094409	0.0630370143972991	0.05
0.306464617	0.0630370143972991	0.05
0.307314933	0.0636393142139415	0.05
0.308759935	0.0636393142139415	0.05
0.319078068	0.0642532346513096	0.04
0.320217262	0.0642532346513096	0.04
0.322777267	0.0642532346513096	0.04
0.323097253	0.0642532346513096	0.04
0.323537089	0.0642532346513096	0.04
0.324596864	0.0630370143972991	0.04
0.327195424	0.061865981374751	0.04
0.328591896	0.0607376631954354	0.04
0.338071632	0.066545950327526	0.05
0.340262381	0.0643419058298909	0.05
0.343706753	0.0643419058298909	0.05
0.345554528	0.0643419058298909	0.05
0.350684009	0.0632937412056541	0.06
0.356200611	0.0648791152933138	0.06
0.356206548	0.0648791152933138	0.06
0.356437896	0.0638135196688673	0.06
0.357086112	0.0612966303435394	0.07
0.363936107	0.0594216943855426	0.07
0.367161303	0.0843357163721759	0.08
0.367663989	0.0823598054825624	0.08
0.37384574	0.0932709018281094	0.08
0.381649088	0.0906680705602069	0.07
0.382008897	0.0906680705602069	0.07
0.386863037	0.0899522106211975	0.06
0.386909127	0.0899522106211975	0.06
0.387745392	0.0851740457679629	0.06
0.389222512	0.0846742893963761	0.06
0.389299853	0.0846742893963761	0.06
0.389825341	0.0958893424641366	0.06
0.398731854	0.0893949933875409	0.05
0.403209246	0.100520242998829	0.05
0.416416237	0.0792977508659574	0.03
0.418471182	0.0956140377808001	0.03
0.419019267	0.0942608913221021	0.03
0.428769674	0.098440325020967	0.02
0.438307149	0.103007578066989	0.01
0.438815006	0.104625654256784	0.01
0.441750067	0.119052221889101	0.01
0.444236336	0.111750569555054	0.01
0.444499874	0.105503035476884	0.01
0.445049535	0.103195337571615	0.01
0.445117302	0.108606376739939	0.01
0.445185067	0.108606376739939	0.01
0.445185068	0.108606376739939	0.01
0.445245414	0.108606376739939	0.01
0.44525283	0.108606376739939	0.01
0.445252832	0.108606376739939	0.01
0.445252833	0.108606376739939	0.01
0.445252835	0.108606376739939	0.01
0.445305777	0.108606376739939	0.01
0.44531318	0.108606376739939	0.01
0.44531319	0.108606376739939	0.01
0.445373562	0.108606376739939	0.01
0.445479567	0.108606376739939	0.01
0.445494353	0.108606376739939	0.01
0.445540001	0.108606376739939	0.01
0.445554774	0.106295376238452	0.01
0.445615211	0.106295376238452	0.01
0.445653547	0.106295376238452	0.01
0.445675664	0.106295376238452	0.01
0.445691925	0.106295376238452	0.01
0.445736134	0.106295376238452	0.01
0.445857123	0.105732911998352	0.01
0.445970843	0.105732911998352	0.01
0.446038729	0.105732911998352	0.01
0.446188208	0.104080676667453	0.01
0.446319857	0.104080676667453	0.01
0.446341735	0.104080676667453	0.01
0.446351359	0.104080676667453	0.01
0.446394864	0.104080676667453	0.01
0.446395102	0.104080676667453	0.01
0.446465528	0.103541347053563	0.01
0.44656991	0.103541347053563	0.01
0.446633323	0.103541347053563	0.01
