thrs	post_p	finalwindow
0	0.0656230826508605	0.23
0.070216248	0.0584593960570414	0.18
0.082355146	0.0547256007537903	0.18
0.098963073	0.0547256007537903	0.18
0.106977596	0.0431503629049212	0.19
0.115659216	0.051885117732859	0.19
0.123778241	0.0533623029467529	0.18
0.127200542	0.0418847602426682	0.17
0.127695348	0.0403084288165534	0.17
0.128068503	0.0494224967562705	0.17
0.129609166	0.0476629874885425	0.17
0.129730945	0.0476629874885425	0.17
0.14705261	0.0498165703574121	0.16
0.148427326	0.0494224967562705	0.15
0.148447444	0.0494224967562705	0.15
0.148782099	0.0476629874885425	0.15
0.161204767	0.0460244532705916	0.14
0.178062567	0.0494224967562705	0.12
0.178140913	0.0494224967562705	0.12
0.178189211	0.0494224967562705	0.12
0.178358463	0.0494224967562705	0.12
0.181430774	0.0452467187966856	0.12
0.181486006	0.0452467187966856	0.12
0.181486035	0.0452467187966856	0.12
0.186084933	0.0511767752188239	0.12
0.191788381	0.046423433635306	0.11
0.194681585	0.0533623029467529	0.11
0.205298456	0.053744835937129	0.1
0.206482242	0.0515285122632396	0.1
0.22265244	0.0276484316019566	0.08
0.222656148	0.0276484316019566	0.08
0.222686318	0.0276484316019566	0.08
0.222697977	0.0274125498686946	0.08
0.222812147	0.0274125498686946	0.08
0.223196808	0.0441281826762341	0.08
0.226728961	0.0407687276910591	0.08
0.226867021	0.0407687276910591	0.08
0.226982815	0.0407687276910591	0.08
0.227081991	0.0410814787956102	0.08
0.227177477	0.0410814787956102	0.08
0.227432153	0.0410814787956102	0.08
0.241897099	0.0254578167322575	0.07
0.242875367	0.0320627732446671	0.06
0.243116147	0.0314354021927013	0.06
0.249436037	0.0286340002773254	0.06
0.254481698	0.0317459884608384	0.05
0.256259656	0.0314354021927013	0.05
0.256650521	0.0308321114527264	0.05
0.259750174	0.0302515407230655	0.05
0.295749179	0.0305390670651449	0.05
0.296834617	0.0305390670651449	0.05
0.296839561	0.0305390670651449	0.05
0.296839653	0.0305390670651449	0.05
0.296874128	0.0305390670651449	0.05
0.296879772	0.0305390670651449	0.05
0.29691506	0.0305390670651449	0.05
0.296960227	0.0305390670651449	0.05
0.297156652	0.0305390670651449	0.05
0.297161557	0.0305390670651449	0.05
0.297207868	0.0305390670651449	0.05
0.297242165	0.0305390670651449	0.05
0.297631463	0.0305390670651449	0.05
0.298033592	0.0305390670651449	0.05
0.298062423	0.0305390670651449	0.05
0.29855614	0.0305390670651449	0.05
0.298682719	0.0305390670651449	0.05
0.299931082	0.0308321114527264	0.05
0.300128238	0.0308321114527264	0.05
0.301159527	0.0305390670651449	0.05
0.301373268	0.0305390670651449	0.05
0.302397905	0.0299693780224561	0.05
0.302406093	0.0299693780224561	0.05
0.30240618	0.0299693780224561	0.05
0.302452098	0.0299693780224561	0.05
0.302493847	0.0299693780224561	0.05
0.302531356	0.0299693780224561	0.05
0.302535608	0.0299693780224561	0.05
0.302694303	0.0299693780224561	0.05
0.302844832	0.0299693780224561	0.05
0.303037639	0.0299693780224561	0.05
0.303062807	0.0299693780224561	0.05
0.303998368	0.0299693780224561	0.05
0.304168238	0.0299693780224561	0.05
0.306047128	0.0302515407230655	0.05
0.306464617	0.0294205542052514	0.05
0.308759935	0.0291536117866589	0.05
0.320290117	0.0294205542052514	0.04
0.322066605	0.0314354021927013	0.03
0.322435043	0.0314354021927013	0.03
0.322591403	0.0314354021927013	0.03
0.323097253	0.0314354021927013	0.03
0.323537089	0.0314354021927013	0.03
0.324596864	0.0314354021927013	0.03
0.327195424	0.0274125498686946	0.04
0.328591896	0.0269526583380409	0.04
0.333944256	0.0267284510258218	0.04
0.334029253	0.0267284510258218	0.04
0.340262381	0.0252576972894866	0.05
0.343625259	0.0252576972894866	0.05
0.343706753	0.0252576972894866	0.05
0.345554528	0.0252576972894866	0.05
0.350684009	0.0248667509335845	0.06
0.351815198	0.0248667509335845	0.06
0.356200611	0.0243025084566373	0.06
0.356206548	0.0243025084566373	0.06
0.356351443	0.0243025084566373	0.06
0.356490553	0.0239403604009802	0.06
0.357959666	0.0299693780224561	0.06
0.362945858	0.0234169331491465	0.07
0.363236679	0.0234169331491465	0.07
0.366130409	0.0235888470942118	0.07
0.367663989	0.0294205542052514	0.07
0.37384574	0.0740124403077414	0.08
0.382008897	0.0882707792308188	0.07
0.387745392	0.0978469895794879	0.06
0.389299853	0.0967422264049811	0.06
0.398731854	0.104404436028258	0.05
0.403209246	0.100133981292615	0.05
0.412388288	0.114905323587627	0.04
0.415094538	0.105795321326949	0.04
0.415772448	0.0660567258348588	0.03
0.416416237	0.0929269103089481	0.03
0.423143546	0.11726418508658	0.03
0.428769674	0.127754762215245	0.02
0.438307149	0.134788798210284	0.01
0.438815006	0.134788798210284	0.01
0.440316292	0.131681552191418	0.01
0.441750067	0.130677396491549	0.01
0.444499874	0.105120225925186	0.01
0.444770984	0.105120225925186	0.01
0.445049535	0.105120225925186	0.01
0.445117302	0.11605208527832	0.01
0.445156208	0.11605208527832	0.01
0.445185067	0.11539400598181	0.01
0.445185068	0.11539400598181	0.01
0.445245414	0.11539400598181	0.01
0.44525283	0.11539400598181	0.01
0.445252832	0.11539400598181	0.01
0.445252833	0.11539400598181	0.01
0.445252835	0.11539400598181	0.01
0.44531318	0.11539400598181	0.01
0.445313187	0.11539400598181	0.01
0.44531319	0.11539400598181	0.01
0.445373562	0.11539400598181	0.01
0.445419149	0.11539400598181	0.01
0.445479567	0.1147433479474	0.01
0.445494353	0.1147433479474	0.01
0.445554774	0.114099986342883	0.01
0.445615211	0.114099986342883	0.01
0.445675664	0.114099986342883	0.01
0.445691925	0.124613833671601	0.01
0.445736134	0.124613833671601	0.01
0.445849774	0.123248141042559	0.01
0.445917642	0.123248141042559	0.01
0.445978177	0.123248141042559	0.01
0.446038729	0.123248141042559	0.01
0.446188208	0.121912058246349	0.01
0.446341735	0.121912058246349	0.01
0.446351359	0.121912058246349	0.01
0.446394864	0.121912058246349	0.01
0.44656991	0.121254821231516	0.01
0.446633323	0.121254821231516	0.01
0.446772341	0.121254821231516	0.01
0.446888185	0.121254821231516	0.01
0.446967543	0.121254821231516	0.01
0.447158639	0.121254821231516	0.01
0.447649603	0.119961379709332	0.01
0.447928306	0.119961379709332	0.01
0.448791313	0.125626229189767	0.01
0.449051315	0.126299601499614	0.01
0.449715173	0.124959999033939	0.01
0.451750007	0.125626229189767	0.01
0.452986292	0.113685656084777	0.01
0.453102774	0.113685656084777	0.01
0.453117722	0.113685656084777	0.01
0.453670383	0.112491609058684	0.01
0.45367678	0.112491609058684	0.01
0.453739439	0.112491609058684	0.01
0.453802119	0.112491609058684	0.01
0.453864805	0.112491609058684	0.01
0.453864814	0.112491609058684	0.01
0.453952078	0.112491609058684	0.01
0.453977538	0.112491609058684	0.01
0.454053004	0.112491609058684	0.01
0.454115767	0.112491609058684	0.01
0.454131662	0.112491609058684	0.01
0.454172215	0.112491609058684	0.01
0.454228692	0.112491609058684	0.01
0.454266222	0.112491609058684	0.01
0.454278877	0.112491609058684	0.01
0.454291524	0.112491609058684	0.01
0.454379121	0.112491609058684	0.01
0.455078808	0.114905323587627	0.01
0.455180191	0.116151445111576	0.01
0.455439212	0.143358516356651	0.01
0.455550168	0.148664870318107	0.01
0.455678249	0.155877021646239	0.01
0.455804735	0.117483438445513	0.02
0.456159276	0.117483438445513	0.02
0.456455968	0.117483438445513	0.02
0.45760535	0.11632346797114	0.02
0.458619789	0.115752030246762	0.02
0.459124851	0.115186179439467	0.02
0.460382332	0.115752030246762	0.02
0.462114195	0.106348211257618	0.02
0.46331093	0.106348211257618	0.02
0.464728436	0.104277374322318	0.02
0.472596627	0.0967422264049811	0.03
0.474072423	0.0967422264049811	0.03
0.47699163	0.0598198506045285	0.03
0.478409458	0.0627399940178333	0.03
0.478419311	0.0627399940178333	0.03
0.478888149	0.0633585716768843	0.03
0.479936634	0.0639894683828182	0.03
0.483671852	0.0906042986258611	0.04
0.483988273	0.0906042986258611	0.04
0.484225862	0.0906042986258611	0.04
0.484927676	0.0921636138681835	0.04
0.485802156	0.112295035515723	0.04
0.485999254	0.110258229677247	0.04
0.486776039	0.0607078843033573	0.04
0.489107131	0.0561603838096582	0.04
0.489424331	0.0561603838096582	0.04
0.499369323	0.0592681404153199	0.05
0.50407637	0.0887278173311345	0.06
0.508934563	0.0553314314755761	0.06
0.511690912	0.0565842445370092	0.06
0.514553924	0.0873494770948196	0.07
0.514645345	0.0873494770948196	0.07
0.51473946	0.0873494770948196	0.07
0.514971335	0.0876900317899972	0.07
0.516063638	0.100999562955548	0.07
0.520735072	0.0549260648578888	0.07
0.534226929	0.0489705520465917	0.07
0.534308248	0.0317459884608384	0.06
0.534453117	0.0317459884608384	0.06
0.534888196	0.0317459884608384	0.06
0.539174229	0.0565842445370092	0.07
0.544416783	0.0574514542508413	0.07
0.546060858	0.0710658968853157	0.06
0.55802857	0.073866599045922	0.05
0.562444529	0.0724391873242423	0.06
