thrs	post_p	finalwindow
0	0.101748111193306	0.2
0.03256001	0.0602765056337064	0.2
0.070216248	0.0623958369817447	0.16
0.082355146	0.0602765056337064	0.15
0.089689176	0.0623958369817447	0.14
0.093809574	0.0602765056337064	0.14
0.098963073	0.0596016970193309	0.14
0.103967892	0.054146100482856	0.14
0.106977596	0.054146100482856	0.14
0.115659216	0.054146100482856	0.13
0.123778241	0.0530666742300622	0.13
0.127200542	0.049605498467119	0.13
0.127695348	0.049605498467119	0.13
0.128068503	0.049605498467119	0.13
0.130460633	0.0530666742300622	0.12
0.148447444	0.0515258874929993	0.11
0.148782099	0.0515258874929993	0.11
0.151339737	0.0510319842686252	0.11
0.161204767	0.0510319842686252	0.1
0.178140913	0.0520294444434352	0.09
0.178189211	0.0520294444434352	0.09
0.178358463	0.0520294444434352	0.09
0.181486006	0.0525429409477737	0.09
0.181824923	0.0525429409477737	0.09
0.186084933	0.0520294444434352	0.1
0.191788381	0.0520294444434352	0.1
0.194681585	0.0530666742300622	0.1
0.205298456	0.104494073938323	0.1
0.206482242	0.103227757925225	0.1
0.222049977	0.0882545287070356	0.08
0.222622275	0.0955663181729666	0.08
0.22265244	0.0955663181729666	0.08
0.222656148	0.0955663181729666	0.08
0.222686318	0.0955663181729666	0.08
0.222716495	0.0955663181729666	0.08
0.222924291	0.108671090808741	0.08
0.223196808	0.107936685555323	0.08
0.226694446	0.103061230986158	0.08
0.226728961	0.103061230986158	0.08
0.226867021	0.103061230986158	0.08
0.226923294	0.0212678622847811	0.07
0.226957829	0.0212678622847811	0.07
0.226982815	0.0212678622847811	0.07
0.227081991	0.0212678622847811	0.07
0.227432153	0.0558501682049642	0.07
0.230426372	0.077542548758135	0.07
0.237068117	0.0949110453016064	0.07
0.241897099	0.0680965132603064	0.06
0.24235868	0.0680965132603064	0.06
0.242615688	0.0788180986242518	0.06
0.242875367	0.0946749866660206	0.06
0.242941212	0.0946749866660206	0.06
0.249436037	0.0889245831364677	0.06
0.254481698	0.0962307020520639	0.05
0.256228734	0.0946749866660206	0.05
0.256259656	0.0946749866660206	0.05
0.256650521	0.0939158405977932	0.05
0.259750174	0.0931687720271318	0.05
0.287097646	0.107738112790885	0.05
0.296839561	0.114031687776696	0.05
0.296839653	0.114031687776696	0.05
0.296874128	0.114031687776696	0.05
0.296879772	0.114031687776696	0.05
0.296919994	0.114031687776696	0.05
0.297156652	0.114031687776696	0.05
0.297207868	0.114031687776696	0.05
0.29723727	0.114031687776696	0.05
0.297242165	0.114031687776696	0.05
0.297345093	0.114031687776696	0.05
0.297631463	0.114031687776696	0.05
0.298033592	0.114031687776696	0.05
0.298432807	0.114031687776696	0.05
0.300128238	0.116296187489847	0.05
0.300638986	0.116296187489847	0.05
0.301159527	0.115152805765396	0.05
0.301373268	0.115152805765396	0.05
0.302397905	0.114031687776696	0.05
0.302406093	0.114031687776696	0.05
0.302443572	0.114031687776696	0.05
0.302452098	0.114031687776696	0.05
0.302453753	0.114031687776696	0.05
0.302493847	0.114031687776696	0.05
0.302535608	0.114031687776696	0.05
0.302757814	0.114031687776696	0.05
0.303037639	0.114031687776696	0.05
0.303998368	0.114031687776696	0.05
0.305094409	0.115152805765396	0.05
0.306464617	0.115152805765396	0.05
0.308759935	0.10975733520417	0.05
0.319078068	0.11079559802983	0.04
0.320217262	0.11079559802983	0.04
0.320290117	0.11079559802983	0.04
0.322066605	0.11079559802983	0.04
0.322591403	0.11079559802983	0.04
0.322777267	0.11079559802983	0.04
0.323097253	0.11079559802983	0.04
0.323808824	0.11079559802983	0.04
0.324596864	0.11079559802983	0.04
0.328591896	0.10975733520417	0.04
0.334029253	0.10975733520417	0.04
0.338071632	0.118552366420867	0.05
0.340262381	0.114309915697247	0.05
0.343625259	0.114309915697247	0.05
0.350684009	0.111322130628722	0.06
0.351815198	0.109415558368198	0.06
0.356200611	0.108486554163732	0.06
0.356206548	0.108486554163732	0.06
0.356351443	0.108486554163732	0.06
0.356490553	0.107573192756551	0.06
0.357086112	0.104068530623756	0.07
0.357959666	0.104923111693126	0.07
0.366130409	0.104068530623756	0.07
0.367161303	0.126787028344211	0.07
0.381649088	0.0659378121862641	0.07
0.389222512	0.0726899978895577	0.06
0.389299853	0.0726899978895577	0.06
0.389825341	0.0718722329752999	0.06
0.395214438	0.0697534651545538	0.06
0.398731854	0.0761560219830972	0.05
0.403209246	0.0731058986936799	0.05
0.411578949	0.0809828283230334	0.04
0.415094538	0.0760653477721617	0.04
0.416416237	0.0614949322245839	0.03
0.419019267	0.0772018053104892	0.03
0.428769674	0.0809361939957029	0.02
0.438307149	0.0850502246907448	0.01
0.438815006	0.0856723348776218	0.01
0.441698853	0.0826495828723801	0.01
0.441750067	0.0820704493268124	0.01
0.444236336	0.073689681006949	0.01
0.444499874	0.0721532150832673	0.01
0.444770984	0.0717790579588209	0.01
0.445049535	0.0717790579588209	0.01
0.445117302	0.076876055429628	0.01
0.445156208	0.076876055429628	0.01
0.445185067	0.0764816307110295	0.01
0.445185068	0.0764816307110295	0.01
0.445245414	0.0764816307110295	0.01
0.44525283	0.0764816307110295	0.01
0.445252832	0.0764816307110295	0.01
0.445252833	0.0764816307110295	0.01
0.445252835	0.0764816307110295	0.01
0.445305777	0.0764816307110295	0.01
0.44531318	0.0764816307110295	0.01
0.445313187	0.0764816307110295	0.01
0.44531319	0.0764816307110295	0.01
