thrs	post_p	finalwindow
0	0.101010326803729	0.21
0.03256001	0.063158041861732	0.2
0.089689176	0.063158041861732	0.15
0.093809574	0.0574200656737604	0.15
0.098963073	0.0574200656737604	0.15
0.103967892	0.0574200656737604	0.14
0.106977596	0.0555282646596819	0.15
0.115659216	0.0549250649917006	0.15
0.123778241	0.0526378594029987	0.15
0.127200542	0.0526378594029987	0.15
0.127695348	0.0526378594029987	0.15
0.128068503	0.0526378594029987	0.15
0.129609166	0.0526378594029987	0.15
0.129730945	0.0526378594029987	0.15
0.14705261	0.0428286923966929	0.15
0.148427326	0.053594341348566	0.15
0.148447444	0.053594341348566	0.15
0.148782099	0.0524040496104638	0.15
0.151339737	0.0508968724170303	0.15
0.155752372	0.0772635993166662	0.15
0.161204767	0.0508968724170303	0.14
0.172569069	0.0643640201552499	0.13
0.178062567	0.0540032129189005	0.12
0.178140913	0.0540032129189005	0.12
0.178189211	0.0540032129189005	0.12
0.178358463	0.0540032129189005	0.12
0.181486035	0.0505335275003757	0.12
0.181824923	0.0505335275003757	0.12
0.205298456	0.0810756477972525	0.1
0.222049977	0.049301677761622	0.08
0.222622275	0.0649612545709274	0.08
0.22265244	0.0649612545709274	0.08
0.222656148	0.0649612545709274	0.08
0.222686318	0.0649612545709274	0.08
0.222697977	0.0649612545709274	0.08
0.222716495	0.0649612545709274	0.08
0.222812147	0.0847792179741881	0.08
0.226694446	0.0772257760498763	0.08
0.226728961	0.0772257760498763	0.08
0.226867021	0.0772257760498763	0.08
0.226957829	0.0772257760498763	0.08
0.226982815	0.0772257760498763	0.08
0.227081991	0.0782213714336138	0.08
0.227177477	0.0782213714336138	0.08
0.227432153	0.00991301041618121	0.07
0.230426372	0.0183823978090627	0.07
0.241897099	0.0539004112739659	0.07
0.242615688	0.0451219360720006	0.06
0.242875367	0.0702920691644762	0.06
0.249436037	0.0603319660032893	0.06
0.256259656	0.0651939219104417	0.05
0.259750174	0.0621870512145539	0.05
0.272151172	0.080826408351162	0.04
0.295749179	0.0769808245992603	0.03
0.296834617	0.0769808245992603	0.03
0.296839561	0.0769808245992603	0.03
0.296874128	0.0769808245992603	0.03
0.296879772	0.0769808245992603	0.03
0.29691506	0.0769808245992603	0.03
0.296919994	0.0769808245992603	0.03
0.296960227	0.0769808245992603	0.03
0.297156652	0.0769808245992603	0.03
0.297161557	0.0769808245992603	0.03
0.297207868	0.0748442470168385	0.03
0.29723727	0.0748442470168385	0.03
0.297242165	0.0748442470168385	0.03
0.297345093	0.0748442470168385	0.03
0.29736316	0.0748442470168385	0.03
0.297631463	0.0748442470168385	0.03
0.298062423	0.0748442470168385	0.03
0.29855614	0.0748442470168385	0.03
0.298682719	0.0741581684550695	0.03
0.299931082	0.0741581684550695	0.03
0.301159527	0.0741581684550695	0.03
0.301373268	0.0741581684550695	0.03
0.302397905	0.0769808245992603	0.03
0.302452098	0.0769808245992603	0.03
0.302453753	0.0769808245992603	0.03
0.302493847	0.0769808245992603	0.03
0.302531356	0.0769808245992603	0.03
0.302535608	0.0769808245992603	0.03
0.302757814	0.0769808245992603	0.03
0.303037639	0.0769808245992603	0.03
0.303062807	0.0769808245992603	0.03
0.303998368	0.0800268586221609	0.02
0.304168238	0.0800268586221609	0.02
0.305094409	0.0800268586221609	0.02
0.306047128	0.0800268586221609	0.02
0.306464617	0.0800268586221609	0.02
0.307314933	0.0777203854871383	0.02
0.308759935	0.0769808245992603	0.02
0.319078068	0.0679310943181971	0.03
0.320217262	0.0679310943181971	0.03
0.320290117	0.0679310943181971	0.03
0.322066605	0.0651939219104417	0.03
0.322435043	0.0651939219104417	0.03
0.322591403	0.0651939219104417	0.03
0.323165924	0.0651939219104417	0.03
0.323537089	0.0651939219104417	0.03
0.323808824	0.0651939219104417	0.03
0.327195424	0.079242972532134	0.03
0.328591896	0.0603319660032893	0.04
0.334029253	0.0603319660032893	0.04
0.338071632	0.0573386706731017	0.05
0.340262381	0.055757894406582	0.05
0.343625259	0.055757894406582	0.05
0.343706753	0.055757894406582	0.05
0.345554528	0.0553762260541065	0.05
0.350684009	0.0566692482558979	0.05
0.356206548	0.0535436673188305	0.06
0.356490553	0.053191614588253	0.06
0.357086112	0.0612454644987941	0.06
0.360733393	0.0518285126336703	0.06
0.362945858	0.0508511688153599	0.07
0.367161303	0.05944531736052	0.07
0.367663989	0.0570498485139285	0.07
0.382008897	0.0625569548862367	0.07
0.386863037	0.0659020324912611	0.06
0.386909127	0.0659020324912611	0.06
0.387745392	0.0659020324912611	0.06
0.389222512	0.0659020324912611	0.06
0.389299853	0.0659020324912611	0.06
0.395214438	0.0910494398128916	0.06
0.398731854	0.0717466613147791	0.05
0.403209246	0.0772635993166662	0.05
0.411578949	0.0831262996373949	0.04
0.412388288	0.0820881688357886	0.04
0.416416237	0.0640469585740778	0.03
0.418471182	0.0824744149646888	0.03
0.419019267	0.081917662731927	0.03
0.440249622	0.0987343984800664	0.01
0.441698853	0.0987343984800664	0.01
0.444770984	0.107811852565448	0.01
0.445117302	0.11782333681263	0.01
0.445156208	0.11782333681263	0.01
0.445185068	0.11782333681263	0.01
0.445245414	0.11782333681263	0.01
0.44525283	0.11782333681263	0.01
0.445252832	0.11782333681263	0.01
0.445252833	0.11782333681263	0.01
0.445252835	0.11782333681263	0.01
0.44531318	0.11782333681263	0.01
0.445313187	0.11782333681263	0.01
0.445313188	0.11782333681263	0.01
0.44531319	0.11782333681263	0.01
0.445373562	0.11782333681263	0.01
0.445433949	0.11782333681263	0.01
0.445479567	0.115894294510485	0.01
0.445494353	0.115894294510485	0.01
0.445540001	0.115894294510485	0.01
0.445554774	0.115265241070515	0.01
0.445578303	0.115265241070515	0.01
0.445615211	0.115265241070515	0.01
0.445653547	0.115265241070515	0.01
0.445675664	0.115265241070515	0.01
0.445736134	0.12009488275899	0.01
0.445849774	0.129597688536118	0.01
0.445917642	0.129597688536118	0.01
0.445970843	0.129597688536118	0.01
0.445978177	0.129597688536118	0.01
0.446038729	0.129597688536118	0.01
0.446188208	0.127554310015721	0.01
0.446341735	0.127554310015721	0.01
0.446351359	0.127554310015721	0.01
0.446395102	0.127554310015721	0.01
0.446455777	0.127554310015721	0.01
0.446465528	0.124288204347092	0.01
0.44656991	0.124288204347092	0.01
0.446772341	0.124288204347092	0.01
0.447158639	0.123654952298445	0.01
0.447533088	0.123654952298445	0.01
0.447649603	0.122407611552111	0.01
0.448791313	0.133641601207232	0.01
0.449552291	0.132990654481407	0.01
0.449715173	0.132990654481407	0.01
0.451750007	0.133641601207232	0.01
0.453312195	0.132990654481407	0.01
0.453607731	0.132990654481407	0.01
0.45367678	0.132990654481407	0.01
0.453739439	0.132990654481407	0.01
0.453782962	0.132990654481407	0.01
0.453802119	0.132990654481407	0.01
0.453864805	0.132990654481407	0.01
0.453864814	0.132990654481407	0.01
0.453927527	0.132990654481407	0.01
0.453977538	0.132990654481407	0.01
0.453990257	0.132990654481407	0.01
0.454053004	0.132990654481407	0.01
0.454172215	0.132990654481407	0.01
0.454228692	0.132990654481407	0.01
0.454266222	0.132990654481407	0.01
0.454291524	0.132990654481407	0.01
0.454379121	0.132990654481407	0.01
0.454543029	0.132990654481407	0.01
0.454618511	0.132990654481407	0.01
0.455078808	0.134298951629226	0.01
0.455439212	0.172319829477003	0.01
0.455550168	0.181138954212964	0.01
0.455678249	0.198030570921573	0.01
0.455755613	0.205703497259075	0.01
0.456133439	0.129214360390385	0.02
0.456159276	0.129214360390385	0.02
0.456455968	0.129214360390385	0.02
0.456880284	0.129214360390385	0.02
0.45760535	0.129214360390385	0.02
0.457901934	0.129214360390385	0.02
0.458022431	0.129214360390385	0.02
0.458619789	0.12800280598515	0.02
0.458664131	0.12800280598515	0.02
0.459124851	0.12800280598515	0.02
0.460382332	0.12800280598515	0.02
0.462114195	0.128605729832181	0.02
0.46499053	0.125071042592852	0.02
0.473676694	0.116530251673241	0.03
0.474072423	0.116530251673241	0.03
0.478419311	0.141539408857587	0.03
0.479732593	0.137240246491751	0.03
0.483511101	0.114574253852643	0.04
0.483671852	0.114574253852643	0.04
0.484225862	0.114574253852643	0.04
0.484927676	0.116035017722014	0.04
